common_name,scientific_name,latitude,longitude,observed_on,grid_id
Carancho,Caracara plancus,-54.7906346404,-68.2225726917,2023-07-14,281
Zorzal patagónico,Turdus falcklandii,-54.8215038107,-68.3517071429,2023-07-16,233
Garza bruja,Nycticorax nycticorax,-54.8091095026,-68.3082032024,2023-01-15,233
Chimango,Daptrius chimango,-54.1591584175,-67.2934772539,2023-07-09,937
Cachaña,Enicognathus ferrugineus,-54.8424812394,-68.5243325453,2014-12-13,185
Cachaña,Enicognathus ferrugineus,-54.84173804,-68.5270253269,2014-12-13,185
Cachaña,Enicognathus ferrugineus,-54.8553626928,-68.5752930795,2023-03-04,184
Cormorán imperial,Leucocarbo atriceps,-54.8469166,-68.4815562,2017-02-15,185
Matamico blanco,Daptrius albogularis,-54.7954746062,-68.2220752001,2023-07-23,235
Carancho,Caracara plancus,-54.7694466667,-68.18833,2023-02-03,281
Carancho,Caracara plancus,-54.8552771568,-68.572777994,2023-03-04,184
Garza bruja,Nycticorax nycticorax,-54.7962711313,-68.2602637634,2023-03-04,234
Pato Crestón,Lophonetta specularioides,-54.8349252359,-68.4465052933,2023-03-04,232
Gaviota capucho café,Chroicocephalus maculipennis,-54.8062803441,-68.2969912514,2023-08-05,234
Comesebo patagónico,Phrygilus patagonicus,-54.8240915747,-68.3556578655,2023-07-22,233
Zorzal patagónico,Turdus falcklandii,-54.8239643136,-68.3555116851,2023-08-06,233
Picolezna patagónico,Pygarrhichas albogularis,-54.8239570826,-68.3554989447,2023-08-06,233
Comesebo patagónico,Phrygilus patagonicus,-54.8239526945,-68.3554833544,2023-08-06,233
Rayadito,Aphrastura spinicauda,-54.8239627383,-68.3554912334,2023-08-06,233
Comesebo patagónico,Phrygilus patagonicus,-54.8240161712,-68.3557677524,2023-08-06,233
Tordo patagónico,Curaeus curaeus,-54.8339166779,-68.3622282743,2023-08-05,233
Cormorán cuello negro,Leucocarbo magellanicus,-54.8330558673,-68.3198130667,2023-08-07,233
Cormorán real,Leucocarbo atriceps,-54.832981666,-68.3195405709,2023-08-07,233
Gaviota cocinera,Larus dominicanus,-54.8326757845,-68.3174681164,2023-08-07,233
Chimango,Daptrius chimango,-54.8327064611,-68.3192676875,2023-08-07,233
Águila mora,Geranoaetus melanoleucus,-53.6730563155,-67.8833082892,2023-08-12,1389
Tero,Vanellus chilensis,-54.8372496537,-68.3677978345,2023-01-25,233
Loica,Leistes loyca,-54.8019121,-68.3029511,2017-01-16,234
Dormilona fraile,Muscisaxicola flavinucha,-54.8019121,-68.3029511,2017-01-15,234
Remolinera parda,Cinclodes fuscus,-54.8264395919,-68.4279169212,2017-01-15,232
Dormilona fraile,Muscisaxicola flavinucha,-54.8292108303,-68.4615704938,2017-01-15,231
