id,observed_on,user_id,place_guess,latitude,longitude,positional_accuracy,scientific_name_sub,common_name,taxon_id,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_subspecies_name,scientific_name
260542653,2024-12-06,1733946,"Ushuaia Department, Tierra del Fuego Province, Argentina",-54.7973710829,-68.2290839702,487.0,Mareca sibilatrix,Pato Overo,558442,Anseriformes,Anatidae,Mareca,,Mareca sibilatrix
260542678,2024-12-06,1733946,"Ushuaia Department, Tierra del Fuego Province, Argentina",-54.7973710829,-68.2290839702,487.0,Leucocarbo magellanicus,Cormorán cuello negro,1289600,Suliformes,Phalacrocoracidae,Leucocarbo,,Leucocarbo magellanicus
260542686,2024-12-06,1733946,"Ushuaia Department, Tierra del Fuego Province, Argentina",-54.7973710829,-68.2290839702,487.0,Sterna hirundinacea,Gaviotín sudamericano,4454,Charadriiformes,Laridae,Sterna,,Sterna hirundinacea
260542689,2024-12-06,1733946,"Ushuaia Department, Tierra del Fuego Province, Argentina",-54.7973710829,-68.2290839702,487.0,Leucocarbo atriceps,Cormorán imperial,1289591,Suliformes,Phalacrocoracidae,Leucocarbo,,Leucocarbo atriceps
260543023,2024-12-04,1733946,"Ushuaia, AR-TF, AR",-54.8129222929,-68.3094334217,794.0,Cinclodes patagonicus,Remolinera araucana,11379,Passeriformes,Furnariidae,Cinclodes,,Cinclodes patagonicus
260543027,2024-12-04,1733946,"Ushuaia, AR-TF, AR",-54.8129222929,-68.3094334217,794.0,Lophonetta specularioides,Pato Crestón,72994,Anseriformes,Anatidae,Lophonetta,,Lophonetta specularioides
260543029,2024-12-04,1733946,"Ushuaia, AR-TF, AR",-54.8129222929,-68.3094334217,794.0,Leucocarbo magellanicus,Cormorán cuello negro,1289600,Suliformes,Phalacrocoracidae,Leucocarbo,,Leucocarbo magellanicus
260543030,2024-12-04,1733946,"Ushuaia, AR-TF, AR",-54.8129222929,-68.3094334217,794.0,Larus dominicanus,Gaviota cocinera,4388,Charadriiformes,Laridae,Larus,,Larus dominicanus
260543032,2024-12-04,1733946,"Ushuaia, AR-TF, AR",-54.8129222929,-68.3094334217,794.0,Nycticorax nycticorax,Garza bruja,4981,Pelecaniformes,Ardeidae,Nycticorax,,Nycticorax nycticorax
260555268,2024-12-04,1733946,"Ushuaia, AR-TF, AR",-54.8122386035,-68.311706712,805.0,Tachyeres patachonicus,Quetro volador,7133,Anseriformes,Anatidae,Tachyeres,,Tachyeres patachonicus
260555270,2024-12-04,1733946,"Ushuaia, AR-TF, AR",-54.8122386035,-68.311706712,805.0,Larus dominicanus,Gaviota cocinera,4388,Charadriiformes,Laridae,Larus,,Larus dominicanus
260555272,2024-12-05,1733946,"Ushuaia, AR-TF, AR",-54.8122386035,-68.311706712,805.0,Larus dominicanus,Gaviota cocinera,4388,Charadriiformes,Laridae,Larus,,Larus dominicanus
260555275,2024-12-05,1733946,"Ushuaia, AR-TF, AR",-54.8122386035,-68.311706712,805.0,Nycticorax nycticorax obscurus,Garza Bruja (obscurus),514019,Pelecaniformes,Ardeidae,Nycticorax,Nycticorax nycticorax obscurus,Nycticorax nycticorax
260555277,2024-12-05,1733946,"Ushuaia, AR-TF, AR",-54.8122386035,-68.311706712,805.0,Sterna hirundinacea,Gaviotín sudamericano,4454,Charadriiformes,Laridae,Sterna,,Sterna hirundinacea
260555280,2024-12-05,1733946,"Ushuaia, AR-TF, AR",-54.8122386035,-68.311706712,805.0,Sterna hirundinacea,Gaviotín sudamericano,4454,Charadriiformes,Laridae,Sterna,,Sterna hirundinacea
260555288,2024-12-05,1733946,"Ushuaia, AR-TF, AR",-54.8122386035,-68.311706712,805.0,Tachycineta leucopyga,Golondrina patagónica,558526,Passeriformes,Hirundinidae,Tachycineta,,Tachycineta leucopyga
260555289,2024-12-05,1733946,"Ushuaia, AR-TF, AR",-54.8122386035,-68.311706712,805.0,Tachyeres patachonicus,Quetro volador,7133,Anseriformes,Anatidae,Tachyeres,,Tachyeres patachonicus
260555294,2024-12-05,1733946,"Ushuaia, AR-TF, AR",-54.8122386035,-68.311706712,805.0,Lophonetta specularioides,Pato Crestón,72994,Anseriformes,Anatidae,Lophonetta,,Lophonetta specularioides
